Название,Тип заведения,Средний чек,Адресс
Домашняя кухня,столовая,,"Жандосова, 6/1, Алматы"
Love is coffee,кофейня,Средний чек 900 тнг,"проспект Аль-Фараби, 17 к4Б, Алматы"
Ема Е,столовая,Средний чек 1500 тнг,"Тимирязева, 32Б, Алматы"
Cheburek.kz,кафе быстрого питания,Средний чек 1000 тнг,"Казыбек би, 183, Алматы"
Бауырсак,магазин фастфудной продукции,,"Ньютона, 1а, Алматы"
Кофейня,Кафе-кондитерские / Кофейни,Средний чек 800 тнг,"БЦ Жел Тау, Егизбаева, 7в, Алматы"
Вкусный мир,столовая,,"проспект Назарбаева, 187, Алматы"
Марал-Сай,высокогорная база отдыха,Бизнес-ланч · Доставка,"Маралсай, 282, с. Алмалык, Талгарский район, Алматинская область"
Эгир,кафе,Средний чек 6000 тнг,"2-й микрорайон, 40Б, Алматы"
Coffeebreak,кофейня,Средний чек 600 тнг,"проспект Райымбека, 100а, Алматы"
Carbon,столовая,,"Төретай, 30а/1, Алматы"
Chef,кулинария,Средний чек 1500 тнг,"ЖК Меркур Град, Думан 2-й микрорайон, 25, Алматы"
Coffeinik,кофейня,Средний чек 1000 тнг,"ТРК Asia Park, проспект Райымбека, 514а, Алматы"
Appetit,столовая,Средний чек 1000 тнг,"Богенбай батыра, 149, Алматы"
Lime Coffee,кофейня,Средний чек 500 тнг,"БЦ Bayzak, проспект Абая, 52в, Алматы"
Space Coffe & Pizza,кофейня,Средний чек 2000 тнг,"ЖК Тан Нуры, микрорайон Мирас, 128, Алматы"
Shafran,бистро,,"ТЦ Адем, шоссе Северное Кольцо, 3/1, Алматы"
Колизей,столовая,Средний чек 1000 тнг,"Кабанбай батыра, 47, Алматы"
GulVar,ресторанный комплекс,Средний чек 5000 тнг,"Казыбек би, 43, Алматы"
Coffee To Go,кофейня,Средний чек 800 тнг,"БЦ Алтын Гасыр, Шевченко, 118"
Шашу,ресторан,Средний чек 5000 тнг,"Айнабулак 3-й микрорайон, 176а"
Wok point,кафе быстрого питания,Доставка,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
BROTHERHOOD BURGER,сеть ресторанов быстрого питания,,"Айнабулак 3-й микрорайон, 166/4"
Mr.Burger & Pizza,фастфуд-кафе,Доставка,"ТРК GRAND PARK, Кабдолова, 1"
Наурыз,ресторан,Средний чек 5500 тнг,"Гостиница Grand hotel Tien-Shan, Богенбай батыра, 115"
Black Star Burger,Быстрое питание,Доставка,"Молл Апорт, Ташкентский тракт, 17к"
KimTan,кафе,Средний чек 2000 тнг,"проспект Суюнбая, 178Б"
Golden Food,вегетарианское кафе,Средний чек 2500 тнг,"проспект Аль-Фараби, 17 к4Б"
Uno,ресторан,Средний чек 5000 тнг,"Гостиница Renion Residence, Каирбекова, 42"
Hot Dogs Corner,киоск быстрого питания,,"Кабанбай батыра, 68 киоск"
Бауырсак,кафе,Средний чек 1100 тнг,"Февральская, 4/1"
Халал,кафе,Средний чек 2000 тнг,"Тайбағар, 12, Алматы"
Цыганский Шашлык,шашлычная,Доставка,"ТЦ Тастак, Толе би, 266, Алматы"
Ирада,комплекс,,"проспект Дулати, 9/10, Алматы"
У Асии,столовая,Средний чек 900 тнг,"Бердигулова, 278а/1, Алматы"
Golden Waffle,киоск гонконгских вафель и мороженого,Средний чек 400 тнг,"ТРК Asia Park, проспект Райымбека, 514а, Алматы"
Верный кофе,кофейня,,"Богенбай батыра, 132, Алматы"
Чайхана на Муратбаева,кафе,Средний чек 1500 тнг,"Муратбаева, 3, Алматы"
Mr.Burger & Pizza,фастфуд-кафе,Доставка,"ТРЦ MOSKVA Metropolitan, 8-й микрорайон, 37/1, Алматы"
iSYRNE,шашлычная,,"Казыбек би, 117/1а, Алматы"
Авлабар,ресторан,Средний чек 7000 тнг,"Алма-Арасан Ущелье, 1/8, Алматы"
Mint Coffee & More,кофейня,,"Сатпаева, 29д, Алматы"
Жетысу,гостиничный комплекс,Средний чек 1500 тнг,"Аэродромная, 91а, пос. Боралдай, Илийский район, Алматинская область"
Стольник,столовая,,"Муканова, 227, Алматы"
GOOSE,ресторан,,"Байтурсынова, 141, Алматы"
Весновка,кафе,Средний чек 3000 тнг,"Жамбыла, 144, Алматы"
Лагманхана,Столовые,,"Казыбаева, 1, Алматы"
AулResort,база отдыха,,"Верхняя Каскеленская трасса, 36а, Алматы"
Рабиям,лагманхана,,"Инжу, 2а, Алматы"
Be Fit Cafe,кафе правильного питания,Средний чек 3000 тнг,"ЖК GAGARIN PARK, проспект Гагарина, 287 блок Б, Алматы"
МЯТА LOUNGE,комплекс,Средний чек 4500 тнг,"Отемисулы, 67, Алматы"
Pioneer,семейный горный курорт,Средний чек 2000 тнг,"Алма Тау, 27, Алматы"
Adrenaline Coffee,кофейня,,"проспект Жибек Жолы, 66, Алматы"
BUFFET,кофейня,Средний чек 1400 тнг,"БЦ Trade Union, Желтоксан, 37, Алматы"
Шұбатхана Тұздыбастау,столовая,,"Жылкыбай, 144а, с. Туздыбастау, Талгарский район, Алматинская область"
CoffeeSTAR,киоск по продаже кофе,Средний чек 400 тнг,"Тургут Озала, 282"
Лагманхана,столовая,,"Айнабулак 3-й микрорайон, 129Б"
La piadina,кафе быстрого питания,Средний чек 3000 тнг,"ТРК Forum, проспект Сейфуллина, 617"
Или,гостиничный комплекс,,"Талант, 30а"
Movenpick,сеть кафе-мороженое,Средний чек 700 тнг,"МФК VILLA, проспект Аль-Фараби, 140а/3"
Kolobok Street Food,кафе быстрого питания,Шаурма,"микрорайон Аксай 4, 20Б к3"
Объедение,кафе быстрого питания,Бизнес-ланч · Доставка,"Берёзовая аллея, 8Б"
Chicken express.kz,киоск быстрого питания,Доставка,"Айнабулак 3-й микрорайон, 98а киоск"
Barakat Burger,сеть кафе и киосков быстрого питания,,"Демьяна Бедного, 3/4 киоск"
Вкус Ташкента,кафе,Средний чек 1000 тнг,"Айша-Биби, 375/1"
Beyaz Firin,кафе быстрого питания,Средний чек 1500 тнг,"ТРК MAXIMA, проспект Райымбека, 239г"
Тарбагатай,столовая,,"рынок Казына, шоссе Северное Кольцо, 34"
У Султана,столовая,Средний чек 2500 тнг,"Жансугурова, 569"
Халал Алиям,столовая,Доставка,"Омарова, 35"
MyYummy,крафт кофе-бар,Средний чек 600 тнг,"ТРЦ SPUTNIK mall, микрорайон Мамыр 1, 8а"
Кушать подано,столовая,Средний чек 1000 тнг,"Амангельды, 52"
NERO,экспресс-кофейня,,"БЦ AlmaTau, Кажымукана, 86"
Pizza house,кафе быстрого питания,Средний чек 2000 тнг,"Майлина, 84"
Almaty street food,киоск быстрого питания,Шаурма,"проспект Достык, 104Б/1"
Gravity,кафе,,"ТРК Atakent Mall, Тимирязева, 42 к3"
BADR burger,кафе быстрого питания,,"Жаяу Мұса, 272а"
CHINAR,кафе,Средний чек 3000 тнг,"Стасова, 102/2"
Zheka`s ICE,сеть киосков и магазинов по продаже мороженого,,"ТРЦ MART, Рихарда Зорге, 18/4"
Sirne,столовая,,"Немировича-Данченко, 54"
Mount Star Coffee shop,кофейня,Средний чек 1500 тнг,"Гоголя, 111Б киоск"
DI coffee shop,кофейня,Средний чек 777 тнг,"Муканова, 186"
VALYA COFFEE BREAK,мини-кофейня,Средний чек 1000 тнг,"БЦ SAYAHAT, Пушкина, 2/76"
Ансар,столовая,,"Шарын, 44/1"
Coffeemoney,экспресс-кофейня,,"проспект Достык, 14"
Мереке,ресторан,Доставка,"Аманжол, 12а"
Шашлычный домик,кафе,Средний чек 3000 тнг,"Жансугурова, 350"
Degusto,сеть кофеен,,"БЦ Амбассадор, Толе би, 83"
кофе от Сансара,кофейня,Средний чек 2000 тнг,"Калдаякова, 21"
Домашняя кухня,закусочная,,"проспект Гагарина, 35"
ASAP ALL,сеть кафе и киосков быстрого питания,,"Хан шатыр, 273/1Б киоск"
Тандырная,киоск быстрого питания,,"Утегенова, 15Б"
Fortuna,банный комплекс,Средний чек 3000 тнг,"Самен батыра, 13г, пос. Отеген Батыра, Илийский район, Алматинская область"
Столовая,ИП Казиев,,"Байзакова, 303, Алматы"
Бейбарыс,комплекс,Средний чек 4000 тнг,"микрорайон Хан-Тенгри, 183, Алматы"
Құлжа,лагманхана,Средний чек 1500 тнг,"Байтерек, 2а, Алматы"
Zheka`s Doner,сеть кафе быстрого питания,Средний чек 1000 тнг,"Алатау, 4/3, пос. Боралдай, Илийский район, Алматинская область"
Sushi Zza Arena,кафе быстрого питания,Доставка,"ЖК Алмалы, 1-я улица, 63, Алматы"
Mr.BIG BEAN,экспресс-кофейня,,"проспект Назарбаева, 248, Алматы"
Picnic,столовая,Средний чек 800 тнг,"проспект Аль-Фараби, 15 к4в, Алматы"
Юнус,столовая,Средний чек 1200 тнг,"ТЦ Асыл, Толе би, 260, Алматы"
Ala Mountain,кофейня,Средний чек 600 тнг,"Тулебаева, 35, Алматы"
Gumma.uz,кафе быстрого питания,,"проспект Жибек Жолы, 123, Алматы"
Anar,столовая,Средний чек 1500 тнг,"Брусиловского, 98, Алматы"
BORJOMI,кафе,Средний чек 3500 тнг,"Садовая, 1, с. Кыргауылды, Карасайский район, Алматинская область"
URBO coffee,сеть экспресс-кофеен,Средний чек 900 тнг,"микрорайон Баянауыл, 57/1а, Алматы"
Asema,кафе,Средний чек 3000 тнг,"Павлодарская, 43, Алматы"
Мария,кафе,,"проспект Райымбека, 417г, Алматы"
Master Doner,киоск по продаже фастфудной продукции,Средний чек 1500 тнг,"3-й микрорайон, 42/3, Капшагай, Капчагай городская администрация, Алматинская область"
Додо Пицца,сеть пиццерий,Средний чек 3000 тнг,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Movenpick,сеть кафе-мороженое,Средний чек 700 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а, Алматы"
33 пингвина,сеть кафе-мороженое,,"Тимирязева, 42 к1, Алматы"
Бакчасарай,кафе,Средний чек 3000 тнг,"Жангельдина, 250/1, Алматы"
Movenpick,сеть кафе-мороженое,Средний чек 700 тнг,"ТРК MEGA Park, проспект Сейфуллина, 483, Алматы"
Solo Pizza,пиццерия,,"Розыбакиева, 53а, Алматы"
Lebis,кафе,Средний чек 5000 тнг,"Шоссейная, 9а, Алматы"
ICHI Coffee,кофейня,,"ТЦ AVTODOM, Сатпаева, 90/21"
Suly sai,центр отдыха,,"Ой-Карагай ущелье, 1660"
AYASHI,суши-бар,Средний чек 2000 тнг,"ТРК MAXIMA, проспект Райымбека, 239г"
Кура,кафе,Средний чек 2000 тнг,"проспект Суюнбая, 487"
У Наримана,кафе,,"2-я улица, 49"
Almaty Tabeti,кафе быстрого питания,Средний чек 1000 тнг,"Саина, 12а"
Sulu-tor,ресторанно-гостиничный комплекс,,"микрорайон Хан-Тенгри, 207"
Biryani 2 Mezze,ресторан,,"микрорайон Керемет, 7 к43"
BISTRO,столовая,,"Жандосова, 10"
Lunch box,кофейня,Средний чек 700 тнг,"проспект Жибек Жолы, 111"
Sushi`n Roll,сеть ресторанов быстрого питания,,"ТРК Atakent Mall, Тимирязева, 42 к3"
Sofiya food,столовая,Средний чек 1000 тнг,"БЦ Премьер Алатау, проспект Достык, 105"
Стрелковый клуб им. А. Асанова,Стрелковые клубы,Средний чек 3500 тнг,"Рыскулова, 15, с. Арман, Илийский район, Алматинская область"
Tamaki,киоск быстрого питания,,"Макатаева, 127/1 киоск, Алматы"
COSMO DONER,киоск быстрого питания,Средний чек 700 тнг,"Утеген батыра, 5, Алматы"
CoffeeTelly,кофейня,,"ТД Алма, проспект Жибек Жолы, 55, Алматы"
TAKO SUSHI,суши-бар,Средний чек 3500 тнг,"Хмельницкого, 24, Алматы"
AiTiBo,караоке-кафе,Средний чек 10000 тнг,"проспект Суюнбая, 43, Алматы"
Буфет,Столовые,Средний чек 300 тнг,"Саяхат, проспект Суюнбая, 1, Алматы"
Lunch Time,столовая,Доставка,"БЦ Карасай, Карасай батыра, 152/1, Алматы"
Tiger food,ресторан быстрого питания,Средний чек 1500 тнг,"ТРК Atakent Mall, Тимирязева, 42 к3, Алматы"
Umma,ресторан восточной кухни,Средний чек 3500 тнг,"ТРК Forum, проспект Сейфуллина, 617, Алматы"
Nur,кафе,,"шоссе Северное Кольцо, 7д, Алматы"
Mr.Donerci,сеть кафе быстрого питания,Шаурма,"Айнабулак 4-й микрорайон, 172а, Алматы"
Terridon,кафе быстрого питания,,"ТРК Forum, проспект Сейфуллина, 617"
Лагманхана,Столовые,Средний чек 1000 тнг,"ТД Береке 7, проспект Рыскулова, 103/21"
STUDENT,столовая,Средний чек 800 тнг,"Айтеке би, 114"
BATYR COFFEE,кофейня,Средний чек 1500 тнг,"Айтеке би, 99"
Kiz Kulesi,кафе быстрого питания,Средний чек 500 тнг,"1-й микрорайон, 81Б"
Ton Ton Doner,киоск быстрого питания,Средний чек 1000 тнг,"проспект Сейфуллина, 402"
Wow,ресторан,Бизнес-ланч · Доставка,"Тимирязева, 42 к2"
LikeSushi,суши-бар,Средний чек 2500 тнг,"Крамского, 14"
Steak & Burger,сеть кафе быстрого питания,Средний чек 1200 тнг,"ТРК GRAND PARK, Кабдолова, 1"
Ashana.kz,столовая,Средний чек 1000 тнг,"микрорайон Мамыр 4, 165"
Asyl food coffee,сеть экспресс-кофеен,Средний чек 1000 тнг,"проспект Аль-Фараби, 34 киоск"
Toifood,столовая,,"Розыбакиева, 4"
Munch Box,кофейня,Средний чек 1000 тнг,"проспект Достык, 248"
Red Dragon Almaty,сеть киосков быстрого питания,,"ТРК ADK, Сатпаева, 90"
Kristi Coffee,кофейня,Средний чек 1200 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Han doner house,кафе быстрого питания,Средний чек 800 тнг,"Розыбакиева, 53а"
COFFEE CHILL,Кафе-кондитерские / Кофейни,,"проспект Аль-Фараби, 30Б"
Caffe Tiziano Bonini,кофейня,Средний чек 1000 тнг,"БЦ D-43, проспект Достык, 43"
Кушать подано,столовая,,"Бродского, 22а"
BEAS KOFE,кофейня,,"ЖК Меркур Град, Думан 2-й микрорайон, 25"
Апашкина кухня,столовая,Средний чек 1200 тнг,"проспект Абая, 157а"
Grill & Wok,киоск фастфудной продукции,Доставка,"Сатпаева, 90/21Б киоск"
Kindness Coffee,экспресс-кофейня,,"Тимирязева, 42 к23а"
Gurman24,служба доставки еды,Доставка,Алматы
Aura,кафе,Доставка,"Кудерина, 16"
Жұлдыз,ресторан,Средний чек 10000 тнг,"Гоголя, 40"
Damdi,кафе быстрого питания,,"ЖК Алмалы, 1-я улица, 57"
ЭКО Food,столовая,Средний чек 1000 тнг,"проспект Абая, 10"
DoMiNo,кафе,,"1-я улица, 7/1"
Дархан,столовая,,"Байтурсынова, 185"
Аслан,кафе,Средний чек 2000 тнг,"Ашимова, 162"
Дуэт,кафе,Средний чек 1000 тнг,"Жумабаева, 34а"
Hamboo Burgers,киоск быстрого питания,Средний чек 1500 тнг,"Сатпаева, 90/21а киоск"
Q Store,кофейня,,"Сағадат Нұрмағамбетов, 148/2"
Kato Sushi,суши-бар,Средний чек 1000 тнг,"Айымбетова, 1/1"
KEREMET COFFEE,кафетерий,,"проспект Аль-Фараби, 71/21"
Табыс,кафе,Средний чек 2000 тнг,"Бенберина, 83, Алматы"
Алмасай,ресторанный комплекс,,"Алма-Арасан, 106а, Алматы"
Баракат,лагманная,Средний чек 1200 тнг,"Жибек Жолы, 1а/2, с. Туздыбастау, Талгарский район, Алматинская область"
Холам,кафе,Средний чек 4000 тнг,"Алма-Арасан, 14, Алматы"
Degusto,кофейня,,"ТРК ADK, Сатпаева, 90, Алматы"
Столовая,ИП Иманмухамедова С.,Средний чек 700 тнг,"Масанчи, 56, Алматы"
Караван,столовая,,"Зелёный базар, проспект Жибек Жолы, 53, Алматы"
Мустанг,кафе,Средний чек 1000 тнг,"Аэродромная, 2г, пос. Боралдай, Илийский район, Алматинская область"
ТИМ,лагманхана,Средний чек 700 тнг,"Кенесары хана, 90, Алматы"
Johnny’s,кафе быстрого питания,Средний чек 1650 тнг,"Тлеуберды Сауранбаева, 16/3, Алматы"
Медео,кафе,,"Керей-Жәнібек хандар, 582, Алматы"
Мархаба,столовая,,"Немировича-Данченко, 37, Алматы"
Barakat Burger,сеть кафе и киосков быстрого питания,,"ТД НУР, микрорайон Аксай 4, 70Б"
DiyarDoner,халал-кафе,,"Льва Толстого, 5Б/1"
Ас Кент,столовая,,"БЦ Азия-Мост, Тимирязева, 42 к15/107"
Тan,кафе,,"проспект Райымбека, 237в"
Jungle,лаундж-бар,,"ЖК Вавилон, Розыбакиева, 247 блок 7"
Food Brothers,кафе быстрого питания,Средний чек 1500 тнг,"Яссауи, 190"
La Rioja Restaurante,ресторан,Средний чек 12000 тнг,"Гоголя, 15"
Lunch Time,кафе,Средний чек 700 тнг,"проспект Аль-Фараби, 17 к4Б"
AR RAZZAQ,кафе,Средний чек 1300 тнг,"Попова, 22"
Как она ест,кафе быстрого питания,,"Толе би, 65"
Трапеза,столовая,,"БЦ Квартал, проспект Жибек Жолы, 50 блок А"
Diadema,ресторан,Средний чек 3500 тнг,"микрорайон Хан-Тенгри, 182"
Hags,кафе быстрого питания,Средний чек 900 тнг,"Зелёный базар, проспект Жибек Жолы, 53"
Сабира,кафе,Средний чек 3000 тнг,"проспект Райымбека, 34а"
Burger hup,кафе быстрого питания,Доставка,"Ауэзова, 26"
CORALINE,кофейня-кондитерская,Средний чек 1500 тнг,"Гоголя, 58"
Kencoffee,кофейня,,"Жандосова, 82"
Кайрат,кафе,Средний чек 3500 тнг,"Көркемдік, 217"
Премьера,кафе,Доставка,"Жуалы, 129"
Bakery & Coffee,кофейня,,"Шагабутдинова, 45"
Чайхана,кафе-столовая,Средний чек 1000 тнг,"проспект Достык, 17"
Мангал хаус,лаундж-бар,,"Гостиница Туран, Кенесары хана, 88"
Ахчия,кафе,,"Коперника, 2в"
Уют,столовая,Средний чек 1000 тнг,"Егизбаева, 13"
Pub 12,кафе-бар,Средний чек 2000 тнг,"12-й микрорайон, 24, Алматы"
nyashka_burger,киоск быстрого питания,,"проспект Райымбека, 507а, Алматы"
Baba Doner,кафе,Средний чек 1000 тнг,"Вильямса, 73/1, Алматы"
Князь,столовая,Средний чек 1000 тнг,"проспект Рыскулова, 101а, Алматы"
THE KITCHEN CORNER,кофейня,Средний чек 1000 тнг,"Globus, проспект Абая, 109в, Алматы"
ChickChicken,кафе быстрого питания,,"Сулейменова, 12, Алматы"
Шашлычный двор,кафе,Средний чек 3500 тнг,"Кыдырбекова, 43, Алматы"
Buycool,кафе быстрого питания,Средний чек 1000 тнг,"проспект Абылай хана, 91/2, Алматы"
Hawker Chan,кафе быстрого питания,Доставка,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а, Алматы"
Нурлы,кымызхана,Средний чек 3000 тнг,"Жибек Жолы, 34а, с. Туздыбастау, Талгарский район, Алматинская область"
Киоск фастфудной продукции,Быстрое питание,,"проспект Суюнбая, 2в киоск, Алматы"
Food house,кафе,,"Аэропорт Алматы, Майлина, 2, Алматы"
Чайхана №5,кафе,Средний чек 2500 тнг,"Толе би, 55"
Chicken express.kz,киоск быстрого питания,Доставка,"Кыдырбекова, 43"
Bella,кондитерский дом,Средний чек 1200 тнг,"Акпаева, 57Б"
Magestic,ресторанный комплекс,Средний чек 3000 тнг,"Санаторная, 14"
Огни Алатау,кафе,Средний чек 3000 тнг,"Ашимова, 239"
Киоск по продаже самсы,Быстрое питание,Средний чек 500 тнг,"ТЦ Дархан, Айманова, 155"
Орегано,ресторан,Средний чек 7000 тнг,"Гостиница Достык, Курмангазы, 36"
Tashkent,кафе,Средний чек 2000 тнг,"ТЦ Тянь-Шань, шоссе Северное Кольцо, 120/4"
CoffeeTelly,кофейня,,"ТК МЕРЕЙ, проспект Суюнбая, 2 к3"
Doma coffeе & tea,кофейня,,"БЦ Агентство Барьер, Гоголя, 39"
Столовая,Столовые,Средний чек 1200 тнг,"Богенбай батыра, 221"
Degirmen express,кафе быстрого питания,,"ТРК GRAND PARK, Кабдолова, 1"
Мукарамм,столовая,Средний чек 900 тнг,"Мартебе, 1а"
CAPPUCCINI,сеть кофеен,Средний чек 1000 тнг,"проспект Назарбаева, 77"
Горный,ресторан,Средний чек 8000 тнг,"Алма-Арасан Ущелье, 1/7"
Cosa Nostra,ресторан,Средний чек 3000 тнг,"Гостиница Astana, Байтурсынова, 113"
Waffles store,кафе-мороженное,Доставка,"Мельникайте, 26"
Казына,лагманная,,"рынок Казына, шоссе Северное Кольцо, 34"
QuickPizza,пиццерия,Средний чек 2500 тнг,"Иштвана Коныра, 118/1"
Parnas Group,столовая,Средний чек 600 тнг,"Төретай, 92а"
Махинур,кафе,Средний чек 1000 тнг,"Бурундайская, 39"
CHINA PAPA,кафе,Средний чек 2500 тнг,"ТРК GRAND PARK, Кабдолова, 1"
Qomagai,кафе быстрого питания,,"Жандосова, 27г"
Айза,кафе,Средний чек 2000 тнг,"Жанкожа батыра, 32"
Вкусняшка,буфет,Средний чек 750 тнг,"БЦ Vita Trans, проспект Абылай хана, 141"
Карамель,кафетерий,Средний чек 500 тнг,"микрорайон Нұркент, 5 к16-19"
Зарядись энергией,кофейня,,"Толе би, 189д"
Old School Coffee,кофейня,Средний чек 2000 тнг,"БЦ Южный, Тимирязева, 15Б"
Keruen Food Catering Delivery,Доставка готовых блюд,Доставка,"бульвар Бухар Жырау, 45/1"
Ton Ton,кафе быстрого питания,Средний чек 1500 тнг,"проспект Сейфуллина, 404"
Mr.Doner,киоск по продаже фастфуда,Средний чек 500 тнг,"Жансугурова, 611 киоск"
Mix Pizza,кафе,Средний чек 3000 тнг,"Клочкова, 106"
Burger King,сеть кафе быстрого питания,Средний чек 1700 тнг,"Молл Апорт, Ташкентский тракт, 17к"
Lion Coffee,кофейня,Средний чек 1200 тнг,"Кабдолова, 1/4"
Кафе у Розы,Кафе,Средний чек 1000 тнг,"проспект Алтынсарина, 27а"
Boston Eat & Fun,кафе быстрого питания,,"ТРК GRAND PARK, Кабдолова, 1"
Tokyo sushi,сеть суши-баров,,"Айнабулак 3-й микрорайон, 129"
Шашлык от Мусы,кафе,Средний чек 3000 тнг,"Жубанова, 95а"
Chicken express.kz,киоск быстрого питания,Доставка,"проспект Райымбека, 212ж/1"
Ансар,столовая,,"Казыбаева, 1Б"
Роза,гостиничный комплекс,Средний чек 2000 тнг,"проспект Райымбека, 548/2"
Brass Street Food,кафе быстрого питания,Шаурма · Доставка,"Розыбакиева, 95"
ZBest Chicken,Быстрое питание,Средний чек 1200 тнг,"микрорайон Жас Канат, 324/1"
293/1,столовая,,"Толе би, 293/1"
Madina,кафе,,"Геологов, 2/3"
HFC,киоск фастфудной продукции,,"микрорайон Аксай 4, 22а/5 киоск"
DymoSphere,лаундж-бар,Средний чек 4000 тнг,"ЖК Central Park Residence, Каирбекова, 35а"
Bigdoners,киоск быстрого питания,Доставка,"Саина, 18 киоск"
Mix,кафе быстрого питания,Средний чек 1200 тнг,"Мустафина, 5Б/1"
Burger Алем,кафе,,"Пушкина, 1/1"
Сауле,кафе,Средний чек 1500 тнг,"Сухамбаева, 29"
Керуен,ресторан,Средний чек 4000 тнг,"Гоголя, 127/1"
Malvazija,ресторан,Средний чек 7000 тнг,"Мусабаева, 8"
Асыл,столовая,,"Манаса, 57"
THE.VKUS,столовая,Средний чек 1000 тнг,"Утеген батыра, 76а"
Chicken express.kz,киоск быстрого питания,Доставка,"Станкевича, 3/1 киоск"
Doner Kebab,кафе быстрого питания,Средний чек 750 тнг,"проспект Суюнбая, 19/1"
Бунгало,кафе,Средний чек 3000 тнг,"микрорайон Хан-Тенгри, 1/11"
Ken City Doner,киоск фастфудной продукции,Средний чек 800 тнг,"проспект Суюнбая, 17/1 киоск"
Наша Юрта,кафе,,"Жандосова, 188а"
Салем бистро,столовая,Средний чек 1000 тнг,"2-й микрорайон, 40а"
Кокше,столовая,Средний чек 1500 тнг,"проспект Райымбека, 53"
Алишер,столовая,Средний чек 1200 тнг,"Шоссейная, 27"
Шынгыс,кафе,,"Жана Гасыр, 2/3"
Блинница,сеть киосков быстрого питания,,"Саина, 16г киоск"
Almaty chicken,кафе,Средний чек 5000 тнг,"микрорайон Кулагер, 36/1"
The Grill,ресторан,Средний чек 7000 тнг,"Гостиница Rahat Palace Hotel, Сатпаева, 29/6"
Астра,ресторан,Средний чек 4000 тнг,"Желтоксан, 12"
BROCOFFEE,экспресс-кофейня,,"Богенбай батыра, 168"
Столовая,Столовые,Средний чек 1200 тнг,"БЦ Хан-Тенгри, Кажымукана, 22/5"
Asay Jurek,мини-кофейня,Средний чек 1500 тнг,"Валиханова, 43"
ADA PLOV,столовая,Средний чек 1500 тнг,"Байтурсынова, 122/22, Алматы"
Душевная Кухня,сеть кафетерий,,"СПГУП, Чайковского, 9/11, Алматы"
Эльф пицца,точка быстрого питания,Средний чек 1000 тнг,"Саги Ашимова, 206а, Алматы"
Cinar,столовая,Средний чек 1000 тнг,"проспект Сейфуллина, 510а, Алматы"
Мадонна,комплекс,,"проспект Абылай хана, 48, Каскелен, Карасайский район, Алматинская область"
Алма-Ата,столовая,Доставка,"Биянху, 252а, Алматы"
Пирожок,кафе быстрого питания,,"Панфилова, 275ж/1, Алматы"
MOOZ,сеть кофеен,Средний чек 1500 тнг,"Медеу, Керей-Жәнібек хандар, 465, Алматы"
Zhetysu Burger,киоск быстрого питания,,"микрорайон Жетысу-2, 69Б киоск, Алматы"
Столовая,Столовые,,"проспект Аль-Фараби, 71/27, Алматы"
22 СМ ГРИЛЯ,киоск быстрого питания,Средний чек 1400 тнг,"микрорайон Коктем-3, 2, Алматы"
Асхана,столовая,Средний чек 700 тнг,"Жанкожа батыра, 24, Алматы"
Aksay,столовая,Средний чек 800 тнг,"ТЦ AutoCity, микрорайон Аксай 3Б, 1Б"
Z & A NON KABOB,киоск быстрого питания,Средний чек 1000 тнг,"Жетысуская, 46Б киоск"
Burger Square,кафе быстрого питания,,"Ауэзова, 171"
Точка по продаже фастфудной продукции,Быстрое питание,Средний чек 500 тнг,"Розыбакиева, 75"
Достык,столовая,,"Тюлькубасская, 2"
Jako Doner,кафе быстрого питания,Средний чек 2000 тнг,"микрорайон Жас Канат, 615"
Лаваш,кафе-бар,Средний чек 2500 тнг,"Жумабаева, 31"
Imaliya,экспресс-кофейня,Средний чек 1000 тнг,"БЦ Vita Trans, проспект Абылай хана, 141"
Столовая,Столовые,Средний чек 1400 тнг,"Кунаева, 181Б"
Гулистан,кафе,Средний чек 2000 тнг,"Айнабулак 2-й микрорайон, 42в/1"
Franzoni,столовая,Средний чек 1000 тнг,"Мауленова, 85"
Шашлыкистан,кафе,,"Жубанова, 20а/1"
Dozari,кафе быстрого питания,Средний чек 2000 тнг,"Хан шатыр, 273/4 киоск, Алматы"
Курмет,столовая,Средний чек 1000 тнг,"проспект Жибек Жолы, 3, Алматы"
Бархан,комплекс,Средний чек 1000 тнг,"Первомайская нефтебаза, 161/1, Алматы, Илийский район"
Аида,столовая,Средний чек 800 тнг,"проспект Райымбека, 110, Алматы"
Чебуреки,Кафе,,"Касыма Шарипова, 77, Алматы"
Damdy,столовая,Средний чек 1000 тнг,"ЖК Куат на Сатпаева-Гагарина, Солодовникова, 21д, Алматы"
KIND BURGER & PIZZA,кафе быстрого питания,,"ТРК MAXIMA, проспект Райымбека, 239г, Алматы"
Q COFFEE SHOP,сеть кофеен,,"Аэропорт Алматы, Майлина, 2, Алматы"
Fast Food Burger Food,кафе быстрого питания,Шаурма,"Иштвана Коныра, 118/1, Алматы"
Brend Food,кафе быстрого питания,Средний чек 1500 тнг,"Туркебаева, 86, Алматы"
Арман,столовая,,"Витебская, 30/1, Алматы"
ALIF STAR burger,киоск быстрого питания,,"City plus, Толе би, 285, Алматы"
